gene_id	GTEX-N7MT-0826-SM-EV794	GTEX-P78B-2326-SM-EZ6KO	GTEX-Q2AG-2326-SM-EZ6KY	GTEX-S32W-1526-SM-4AD6Z	GTEX-S341-1126-SM-4AD6T	GTEX-S4UY-1426-SM-4AD6Y	GTEX-T5JW-0726-SM-4DM6D	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ
ENSG00000270171.1	1.341	0.8337	0.521	0.3675	0.3314	0.2557	0.1524	0	0.1141
ENSG00000270035.1	1.038	0.7949	0.5243	0.3699	0.5002	0.386	0.5753	0.3801	0.3444
ENSG00000269978.1	2.438	2.828	1.492	0.5922	1.068	2.678	0.4913	0.8116	0.9189
ENSG00000049245.12	147.7	101.1	141	116.1	142.7	126	95.84	118.3	81.18
ENSG00000269925.1	22.14	9.607	10.9	2.414	3.628	2.099	1.502	5.651	4.62
ENSG00000049246.14	41.5	36.44	34.18	15.48	22.35	38.38	7.232	42.52	17.54
ENSG00000236266.1	5.996	6.487	5.266	0.8126	1.465	3.514	1.445	9.784	1.729
ENSG00000049247.13	0.8977	0.6954	0	0.0571	0	0.05959	0.2842	0.4108	0
ENSG00000049249.8	0.009348	0.01193	0	0.05827	0.01501	0.02606	0.06216	0.008556	0.031
ENSG00000270330.1	0	0	0	0	0	0	0	0	0
ENSG00000116288.12	217	223.2	220.7	271.8	237.5	213.2	118.4	246.6	77.63
ENSG00000200344.1	1.724	0.3666	0.4836	0	0	0.534	0	1.052	0
ENSG00000116285.12	153.2	55.16	95.47	44.74	131	102.6	315	185.1	99.55
ENSG00000238290.1	0.5212	0.1662	0.1218	0.1289	0.4417	0.296	0.2888	0.424	0.144
ENSG00000232848.1	0.148	0.09439	0	0.1318	0	0.1375	0	0.06771	0.06134
ENSG00000229305.1	0.1101	0	0.04633	0	0	0	0	0	0
ENSG00000227634.2	0	0	0	0	0	0	0.1381	0	0
ENSG00000200975.1	0	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0	0
ENSG00000162426.14	11.95	10.56	10.26	12.05	14.66	10.82	4.074	16.35	0.6445
ENSG00000252254.1	1.571	0.3341	0	0	1.262	0	0	0	0
ENSG00000142599.17	105.4	92.88	81.82	64.97	125.1	127.8	43.31	130	21.84
ENSG00000232912.5	5.564	2.689	3.335	1.502	2.369	2.194	0.654	2.701	0.3495
ENSG00000221083.1	1.42	1.208	1.594	0	0	0	0	0	0
ENSG00000270282.1	1.925	0.2046	1.215	0.2857	0	0	0	0.2936	0
ENSG00000234619.1	0.1799	0	0.3028	0	0.3611	0	0	0.247	0
ENSG00000224315.2	0.3367	0.2148	0.3543	0.2249	0.1352	0	0	0	0.2792
ENSG00000222511.2	0	0.3666	0	0	0	0	0	0	0
ENSG00000226545.1	0	0	0	0	0	0	0.158	0	0
ENSG00000228423.2	0	0	0.2822	0.1493	0	0	0.5574	0	0
ENSG00000229716.2	0	0	0	0	0	0	0	0	0
ENSG00000074800.13	219.2	393.9	269.4	813.7	428.6	486.5	1162	342.8	1269
ENSG00000274258.1	0.665	0	0.5597	0	0	0	0.7369	0	0.5514
ENSG00000236269.1	0.3182	0	0.06695	0.2834	0.1277	0.2218	0.5289	0.5825	1.649
ENSG00000230679.1	0.3587	0	0	0	1.44	0.3334	0.9937	0.1642	0
ENSG00000201725.1	0	0	0	0	0	0	0	0	0
ENSG00000238249.2	0.07965	0.05082	0.2011	0.07094	0.06396	0.07403	0	0.07291	0.1321
ENSG00000232208.2	0.1681	0	0	0	0	0	0	0.3078	0
ENSG00000232663.2	0	0	0	0	0	0	0	0	0
ENSG00000131686.14	0.04446	0	0.01871	0	0	0.06199	0	0	0
ENSG00000265141.2	0	0	0	0	0	0	0	0	0
ENSG00000197241.3	0	0	0	0.137	0.06176	0	0	0	0
ENSG00000142583.17	1.363	1.607	0.5926	1.238	0.4712	1.435	5.602	0.7354	8.323
ENSG00000252404.1	0	0	0	0	0	0	0	0	0
ENSG00000180758.11	7.542	6.626	5.061	7.358	6.075	6.509	23.72	4.507	41.51
ENSG00000228526.6	4.2	14.72	1.533	19.56	8.644	11.03	10.25	7.635	9.765
ENSG00000234546.3	2.596	3.803	2.387	1.755	1.197	2.681	2.557	4.753	2.91
ENSG00000281937.1	0.1677	0.3853	0.2824	0.5378	0.05388	0.06236	0.1487	0.7063	0.306
ENSG00000049239.12	46.57	39.96	49.07	74.72	87.01	50.27	30.95	50.79	16.28
ENSG00000171621.13	42.28	83.63	40.08	48.35	69.59	91.78	22.38	36.33	23.76
ENSG00000252956.1	0	0.3432	0	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0	0	0	0	0
ENSG00000171612.6	3.286	2.606	1.977	5.99	3.835	5.095	3.386	2.699	3.552
ENSG00000231181.1	0.6352	0.8781	0.8019	0.1886	0.17	0.7872	0.7039	0.5814	0.8778
ENSG00000188807.12	11.49	12.12	9.803	11.95	8.957	8.473	4.915	10.14	4.389
ENSG00000171608.15	21.35	10.12	15.87	6.709	11.61	10.6	5.558	13.91	4.257
ENSG00000179840.5	0	0	0	0.1156	0	0	0	0.1189	0.02692
ENSG00000233268.3	0	0	0	0	0	0	0	0	0
ENSG00000231789.2	5.294	5.348	9.495	2.694	2.328	4.218	2.235	5.192	1.672
ENSG00000171603.16	99.9	170	195.9	108.4	168.7	190.2	163.9	123.3	154.6
ENSG00000271264.1	0	0	0	0.2142	0.1932	0	0	0	0
ENSG00000280113.2	0	0.0952	0.1005	0	0	0.05548	0.3307	0.1093	0.2227
ENSG00000178585.14	15.21	18.74	15.45	17.12	20.23	19.55	160.3	15.57	129.5
ENSG00000162441.11	20.62	21.13	21.19	23.8	21.98	23.65	16.03	16.03	16.85
