Gene stable ID,Transcript stable ID,Gene type
ENSG00000284598,ENST00000640564,protein_coding
ENSG00000283714,ENST00000639609,protein_coding
ENSG00000284090,ENST00000640133,protein_coding
ENSG00000286184,ENST00000650894,protein_coding
ENSG00000284228,ENST00000638427,protein_coding
ENSG00000283903,ENST00000638657,protein_coding
ENSG00000283946,ENST00000639692,protein_coding
ENSG00000283868,ENST00000639962,protein_coding
ENSG00000284515,ENST00000639889,protein_coding
ENSG00000284832,ENST00000643490,protein_coding
ENSG00000285312,ENST00000643843,protein_coding
ENSG00000285226,ENST00000644756,protein_coding
ENSG00000284936,ENST00000642513,protein_coding
ENSG00000285222,ENST00000645343,protein_coding
ENSG00000281894,ENST00000629379,protein_coding
ENSG00000280661,ENST00000630337,protein_coding
ENSG00000281709,ENST00000627004,protein_coding
ENSG00000281306,ENST00000625394,protein_coding
ENSG00000281448,ENST00000630464,protein_coding
ENSG00000281661,ENST00000627775,protein_coding
ENSG00000281665,ENST00000626149,protein_coding
ENSG00000280610,ENST00000631233,protein_coding
ENSG00000280516,ENST00000630091,protein_coding
ENSG00000281886,ENST00000626185,protein_coding
ENSG00000281626,ENST00000628759,protein_coding
ENSG00000154646,ENST00000284885,protein_coding
ENSG00000283068,ENST00000635454,protein_coding
ENSG00000283085,ENST00000635036,protein_coding
ENSG00000154639,ENST00000284878,protein_coding
ENSG00000102699,ENST00000381989,protein_coding
ENSG00000291488,ENST00000707665,protein_coding
ENSG00000284068,ENST00000640158,protein_coding
ENSG00000027001,ENST00000464194,protein_coding
ENSG00000142207,ENST00000382751,protein_coding
ENSG00000102781,ENST00000380615,protein_coding
ENSG00000232263,ENST00000416044,protein_coding
ENSG00000154721,ENST00000400532,protein_coding
ENSG00000281459,ENST00000631074,protein_coding
ENSG00000280549,ENST00000625769,protein_coding
ENSG00000280908,ENST00000626048,protein_coding
ENSG00000280949,ENST00000625380,protein_coding
ENSG00000281540,ENST00000631021,protein_coding
ENSG00000291501,ENST00000707739,protein_coding
ENSG00000236444,ENST00000638137,protein_coding
ENSG00000291502,ENST00000707740,protein_coding
ENSG00000132952,ENST00000465952,protein_coding
ENSG00000189403,ENST00000341423,protein_coding
ENSG00000156282,ENST00000286808,protein_coding
ENSG00000166265,ENST00000299340,protein_coding
ENSG00000243927,ENST00000488492,protein_coding
ENSG00000273167,ENST00000382141,protein_coding
ENSG00000102753,ENST00000261667,protein_coding
ENSG00000188694,ENST00000340345,protein_coding
ENSG00000198743,ENST00000381151,protein_coding
ENSG00000159259,ENST00000314103,protein_coding
ENSG00000288411,ENST00000672418,protein_coding
ENSG00000288445,ENST00000672413,protein_coding
ENSG00000288114,ENST00000672827,protein_coding
ENSG00000288264,ENST00000671717,protein_coding
ENSG00000288299,ENST00000672804,protein_coding
ENSG00000288485,ENST00000672457,protein_coding
ENSG00000288292,ENST00000672443,protein_coding
ENSG00000288174,ENST00000673224,protein_coding
ENSG00000288504,ENST00000672150,protein_coding
ENSG00000288145,ENST00000672765,protein_coding
ENSG00000288325,ENST00000672439,protein_coding
ENSG00000165475,ENST00000643035,protein_coding
ENSG00000156304,ENST00000286835,protein_coding
ENSG00000288456,ENST00000673534,protein_coding
ENSG00000288301,ENST00000673081,protein_coding
ENSG00000288169,ENST00000672212,protein_coding
ENSG00000288399,ENST00000672140,protein_coding
ENSG00000288511,ENST00000672158,protein_coding
ENSG00000288401,ENST00000672198,protein_coding
ENSG00000288198,ENST00000672559,protein_coding
ENSG00000281917,ENST00000630362,protein_coding
ENSG00000102547,ENST00000355854,protein_coding
ENSG00000291505,ENST00000707761,protein_coding
ENSG00000291507,ENST00000707778,protein_coding
ENSG00000291508,ENST00000707787,protein_coding
ENSG00000284900,ENST00000646317,protein_coding
ENSG00000284938,ENST00000644402,protein_coding
ENSG00000284838,ENST00000642567,protein_coding
ENSG00000285501,ENST00000644932,protein_coding
ENSG00000285182,ENST00000646180,protein_coding
ENSG00000285121,ENST00000646923,protein_coding
ENSG00000120675,ENST00000474320,protein_coding
ENSG00000132975,ENST00000405846,protein_coding
ENSG00000154654,ENST00000400546,protein_coding
ENSG00000132970,ENST00000671038,protein_coding
ENSG00000288435,ENST00000672086,protein_coding
ENSG00000288475,ENST00000671703,protein_coding
ENSG00000156284,ENST00000399899,protein_coding
ENSG00000222018,ENST00000410005,protein_coding
ENSG00000142149,ENST00000270112,protein_coding
ENSG00000154642,ENST00000284881,protein_coding
ENSG00000291520,ENST00000707837,protein_coding
ENSG00000133110,ENST00000379749,protein_coding
ENSG00000159256,ENST00000492336,protein_coding
ENSG00000159086,ENST00000331923,protein_coding
ENSG00000281813,ENST00000648720,protein_coding
ENSG00000281660,ENST00000625469,protein_coding
ENSG00000205929,ENST00000490358,protein_coding
ENSG00000205726,ENST00000399353,protein_coding
ENSG00000102531,ENST00000492622,protein_coding
ENSG00000158270,ENST00000580242,protein_coding
ENSG00000141401,ENST00000588752,protein_coding
ENSG00000288508,ENST00000671810,protein_coding
ENSG00000288257,ENST00000672584,protein_coding
ENSG00000183722,ENST00000648377,protein_coding
ENSG00000288407,ENST00000672359,protein_coding
ENSG00000288362,ENST00000672913,protein_coding
ENSG00000288455,ENST00000671713,protein_coding
ENSG00000291534,ENST00000707893,protein_coding
ENSG00000168461,ENST00000578921,protein_coding
ENSG00000288408,ENST00000673370,protein_coding
ENSG00000023516,ENST00000025301,protein_coding
ENSG00000291523,ENST00000707843,protein_coding
ENSG00000291527,ENST00000707868,protein_coding
ENSG00000204899,ENST00000377818,protein_coding
ENSG00000291533,ENST00000707881,protein_coding
ENSG00000120685,ENST00000352251,protein_coding
ENSG00000291525,ENST00000707851,protein_coding
ENSG00000165837,ENST00000504261,protein_coding
ENSG00000083535,ENST00000326291,protein_coding
ENSG00000176105,ENST00000577961,protein_coding
ENSG00000282825,ENST00000635228,protein_coding
ENSG00000291544,ENST00000707961,protein_coding
ENSG00000136122,ENST00000390667,protein_coding
ENSG00000291547,ENST00000707967,protein_coding
ENSG00000197705,ENST00000359358,protein_coding
ENSG00000150361,ENST00000377844,protein_coding
ENSG00000122034,ENST00000381140,protein_coding
ENSG00000178127,ENST00000577703,protein_coding
ENSG00000280975,ENST00000625528,protein_coding
ENSG00000280831,ENST00000631368,protein_coding
ENSG00000280495,ENST00000630172,protein_coding
ENSG00000120690,ENST00000498824,protein_coding
ENSG00000280682,ENST00000630669,protein_coding
ENSG00000280616,ENST00000626621,protein_coding
ENSG00000281500,ENST00000710538,protein_coding
ENSG00000154889,ENST00000588072,protein_coding
ENSG00000136155,ENST00000471491,protein_coding
ENSG00000282739,ENST00000633701,protein_coding
ENSG00000291539,ENST00000707931,protein_coding
ENSG00000150893,ENST00000280481,protein_coding
ENSG00000204918,ENST00000377930,protein_coding
ENSG00000136111,ENST00000648194,protein_coding
ENSG00000101489,ENST00000586009,protein_coding
ENSG00000227151,ENST00000452123,protein_coding
ENSG00000136158,ENST00000377102,protein_coding
ENSG00000234278,ENST00000434815,protein_coding
ENSG00000120686,ENST00000494372,protein_coding
ENSG00000281614,ENST00000629761,protein_coding
ENSG00000281089,ENST00000629246,protein_coding
ENSG00000281857,ENST00000628376,protein_coding
ENSG00000102554,ENST00000477333,protein_coding
ENSG00000174015,ENST00000310521,protein_coding
ENSG00000134882,ENST00000355700,protein_coding
ENSG00000133119,ENST00000380071,protein_coding
ENSG00000284017,ENST00000639559,protein_coding
ENSG00000231824,ENST00000580650,protein_coding
ENSG00000132874,ENST00000586448,protein_coding
ENSG00000152192,ENST00000377208,protein_coding
ENSG00000182957,ENST00000424834,protein_coding
ENSG00000017797,ENST00000019317,protein_coding
ENSG00000288503,ENST00000673535,protein_coding
ENSG00000288146,ENST00000672504,protein_coding
ENSG00000288490,ENST00000671997,protein_coding
ENSG00000141380,ENST00000415083,protein_coding
ENSG00000159261,ENST00000399139,protein_coding
ENSG00000241837,ENST00000431254,protein_coding
ENSG00000188811,ENST00000473371,protein_coding
ENSG00000154645,ENST00000400128,protein_coding
ENSG00000102837,ENST00000219022,protein_coding
ENSG00000204919,ENST00000377931,protein_coding
ENSG00000065150,ENST00000482642,protein_coding
ENSG00000285395,ENST00000671765,protein_coding
ENSG00000160307,ENST00000291700,protein_coding
ENSG00000281178,ENST00000625732,protein_coding
ENSG00000156273,ENST00000548219,protein_coding
ENSG00000157557,ENST00000360214,protein_coding
ENSG00000291560,ENST00000708005,protein_coding
ENSG00000291561,ENST00000708009,protein_coding
ENSG00000101745,ENST00000585234,protein_coding
ENSG00000152242,ENST00000587591,protein_coding
ENSG00000157551,ENST00000472602,protein_coding
ENSG00000154839,ENST00000285116,protein_coding
ENSG00000139734,ENST00000400324,protein_coding
ENSG00000291554,ENST00000707985,protein_coding
