ensembl_transcript_id,external_gene_name
ENST00000590178,ZBTB7C
ENST00000588149,ZBTB7C
ENST00000588566,ZBTB7C
ENST00000593159,ZBTB7C
ENST00000591526,ZBTB7C
ENST00000590374,ZBTB7C
ENST00000589170,ZBTB7C
ENST00000588028,ZBTB7C
ENST00000372004,NCOA3
ENST00000371998,NCOA3
ENST00000371997,NCOA3
ENST00000490248,NCOA3
ENST00000497292,NCOA3
ENST00000672164,NDN
ENST00000671922,NDN
ENST00000255476,RFXAP
ENST00000472888,RFXAP
ENST00000635236,NFKBIB
ENST00000634995,NFKBIB
ENST00000634647,NFKBIB
ENST00000635517,NFKBIB
ENST00000635399,NFKBIB
ENST00000635416,NFKBIB
ENST00000244050,SNAI1
ENST00000643217,HSF1
ENST00000646252,HSF1
ENST00000642717,HSF1
ENST00000643086,HSF1
ENST00000644444,HSF1
ENST00000643870,HSF1
ENST00000646807,HSF1
ENST00000643951,HSF1
ENST00000644450,HSF1
ENST00000642697,HSF1
ENST00000646233,HSF1
ENST00000646970,HSF1
ENST00000643099,HSF1
ENST00000646061,HSF1
ENST00000645782,SCRT1
ENST00000354828,GABPA
ENST00000400075,GABPA
ENST00000487266,GABPA
ENST00000638220,MAML1
ENST00000640191,MAML1
ENST00000639666,MAML1
ENST00000357006,ZBTB14
ENST00000400143,ZBTB14
ENST00000582388,ZBTB14
ENST00000582135,ZBTB14
ENST00000578327,ZBTB14
ENST00000585253,ZBTB14
ENST00000651870,ZBTB14
ENST00000614697,ZBTB14
ENST00000615385,ZBTB14
ENST00000404699,ISX
ENST00000308700,ISX
ENST00000361524,ZNF521
ENST00000584787,ZNF521
ENST00000399425,ZNF521
ENST00000538137,ZNF521
ENST00000577775,ZNF521
ENST00000577720,ZNF521
ENST00000577801,ZNF521
ENST00000581869,ZNF521
ENST00000580488,ZNF521
ENST00000583005,ZNF521
ENST00000579111,ZNF521
ENST00000583398,ZNF521
ENST00000582584,ZNF521
ENST00000577461,ZNF521
ENST00000340356,SOX18
ENST00000646097,RB1
ENST00000650461,RB1
ENST00000525036,RB1
ENST00000267163,RB1
ENST00000467505,RB1
ENST00000643064,RB1
ENST00000480491,RB1
ENST00000531171,RB1
ENST00000484879,RB1
ENST00000371518,ZFP64
ENST00000371523,ZFP64
ENST00000361387,ZFP64
ENST00000456175,ZFP64
ENST00000395989,ZFP64
ENST00000467811,ZFP64
ENST00000477786,ZFP64
ENST00000395979,ZFP64
ENST00000346617,ZFP64
ENST00000371515,ZFP64
ENST00000216923,ZFP64
ENST00000461898,ZFP64
ENST00000708595,MEF2D
ENST00000708596,MEF2D
ENST00000708597,MEF2D
ENST00000708598,MEF2D
ENST00000708599,MEF2D
ENST00000708600,MEF2D
ENST00000217086,SALL4
ENST00000395997,SALL4
ENST00000483130,SALL4
ENST00000481363,SALL4
ENST00000371539,SALL4
ENST00000612929,BHLHE23
ENST00000370346,BHLHE23
ENST00000671947,TWIST2
ENST00000673387,TWIST2
ENST00000710608,TWIST2
ENST00000201031,TFAP2C
ENST00000416606,TFAP2C
ENST00000708787,APEX1
ENST00000708788,APEX1
ENST00000708789,APEX1
ENST00000708790,APEX1
ENST00000708791,APEX1
ENST00000708792,APEX1
ENST00000708793,APEX1
ENST00000708794,APEX1
ENST00000708795,APEX1
ENST00000708796,APEX1
ENST00000708797,APEX1
ENST00000708798,APEX1
ENST00000708799,APEX1
ENST00000708800,APEX1
ENST00000708801,APEX1
ENST00000708802,APEX1
ENST00000708803,APEX1
ENST00000708804,APEX1
ENST00000708805,APEX1
ENST00000708806,APEX1
ENST00000371564,NFATC2
ENST00000396009,NFATC2
ENST00000609943,NFATC2
ENST00000610033,NFATC2
ENST00000414705,NFATC2
ENST00000609507,NFATC2
ENST00000496054,NFATC2
ENST00000708981,SP7
ENST00000708982,SP7
ENST00000708983,SP7
ENST00000708984,SP7
ENST00000252997,GATA5
ENST00000647274,GATA4
ENST00000646696,GATA4
ENST00000647218,GATA4
ENST00000643249,GATA4
ENST00000642612,GATA4
ENST00000646425,GATA4
ENST00000644275,GATA4
ENST00000642753,GATA4
ENST00000646538,SOX7
ENST00000461122,PHF20
ENST00000374012,PHF20
ENST00000461405,PHF20
ENST00000452270,PHF20
ENST00000339089,PHF20
ENST00000481202,PHF20
ENST00000374000,PHF20
ENST00000617560,PHF20
ENST00000449988,PHF20
ENST00000486408,PHF20
ENST00000495338,PHF20
ENST00000496305,PHF20
ENST00000480940,PHF20
ENST00000485604,PHF20
ENST00000420233,PHF20
ENST00000473943,PHF20
ENST00000343694,RBPJL
ENST00000372741,RBPJL
ENST00000372743,RBPJL
ENST00000464504,RBPJL
ENST00000622729,RBPJL
ENST00000645694,SIX1
ENST00000554986,SIX1
ENST00000555955,SIX1
ENST00000553535,SIX1
ENST00000555627,SIX1
ENST00000632113,DEAF1
ENST00000634067,DEAF1
ENST00000633019,DEAF1
ENST00000634194,DEAF1
ENST00000633208,DEAF1
ENST00000632318,DEAF1
ENST00000634103,DEAF1
ENST00000631879,IRF7
ENST00000633943,IRF7
ENST00000621391,IRF7
ENST00000633274,IRF7
ENST00000632753,IRF7
ENST00000634105,IRF7
ENST00000633006,IRF7
ENST00000632827,IRF7
ENST00000632194,IRF7
ENST00000632853,IRF7
ENST00000633855,IRF7
ENST00000632816,IRF7
ENST00000633869,IRF7
ENST00000631944,IRF7
ENST00000612534,IRF7
ENST00000617397,IRF7
ENST00000361272,CNOT7
ENST00000518541,CNOT7
ENST00000523917,CNOT7
ENST00000519954,CNOT7
ENST00000519918,CNOT7
ENST00000522062,CNOT7
ENST00000524358,CNOT7
ENST00000519998,CNOT7
ENST00000518021,CNOT7
ENST00000520178,CNOT7
ENST00000518885,CNOT7
ENST00000523649,CNOT7
ENST00000628418,CNOT7
ENST00000396863,MYBL2
ENST00000217026,MYBL2
ENST00000317216,EGR3
ENST00000522910,EGR3
ENST00000519492,EGR3
ENST00000524088,EGR3
ENST00000518773,EGR3
ENST00000520164,EBF2
ENST00000408929,EBF2
ENST00000517825,EBF2
ENST00000535548,EBF2
ENST00000436357,DNMT3L
ENST00000628202,DNMT3L
ENST00000270172,DNMT3L
ENST00000431166,DNMT3L
ENST00000216513,SIX4
ENST00000554079,SIX4
ENST00000556952,SIX4
ENST00000530812,AIRE
ENST00000527919,AIRE
ENST00000291582,AIRE
ENST00000337909,AIRE
ENST00000397994,AIRE
ENST00000266269,PATZ1
ENST00000405309,PATZ1
ENST00000351933,PATZ1
ENST00000494109,PATZ1
ENST00000465287,PATZ1
ENST00000215919,PATZ1
ENST00000287701,HMBOX1
ENST00000519662,HMBOX1
ENST00000558662,HMBOX1
ENST00000523613,HMBOX1
ENST00000560599,HMBOX1
ENST00000397358,HMBOX1
ENST00000560357,HMBOX1
ENST00000519047,HMBOX1
ENST00000521516,HMBOX1
ENST00000560269,HMBOX1
ENST00000355231,HMBOX1
ENST00000524238,HMBOX1
ENST00000518080,HMBOX1
ENST00000517386,HMBOX1
ENST00000522468,HMBOX1
ENST00000561377,HMBOX1
ENST00000585916,PIAS2
ENST00000398654,PIAS2
ENST00000324794,PIAS2
ENST00000545673,PIAS2
ENST00000592212,PIAS2
ENST00000590127,PIAS2
ENST00000592011,PIAS2
ENST00000591865,PIAS2
ENST00000589819,PIAS2
ENST00000589917,PIAS2
ENST00000586953,PIAS2
ENST00000592221,PIAS2
ENST00000587810,PIAS2
ENST00000586170,PIAS2
ENST00000586634,PIAS2
ENST00000590944,PIAS2
ENST00000643531,FOXO6
ENST00000710352,FOXO6
ENST00000552383,TGIF1
ENST00000401449,TGIF1
ENST00000547233,TGIF1
ENST00000550958,TGIF1
ENST00000548489,TGIF1
ENST00000618001,TGIF1
ENST00000549780,TGIF1
ENST00000549253,TGIF1
ENST00000551557,TGIF1
ENST00000405385,TGIF1
ENST00000343820,TGIF1
ENST00000407501,TGIF1
ENST00000546979,TGIF1
ENST00000551402,TGIF1
ENST00000577543,TGIF1
ENST00000551541,TGIF1
ENST00000345133,TGIF1
ENST00000330513,TGIF1
ENST00000549546,TGIF1
ENST00000549468,TGIF1
ENST00000400167,TGIF1
ENST00000551333,TGIF1
ENST00000472042,TGIF1
ENST00000325870,DMRTA1
ENST00000246229,PLAGL2
ENST00000303562,FOS
ENST00000554617,FOS
ENST00000556324,FOS
ENST00000554212,FOS
ENST00000535987,FOS
ENST00000555242,FOS
ENST00000555686,FOS
ENST00000555672,FOS
ENST00000557139,FOS
ENST00000555347,FOS
ENST00000380871,NKX3-1
ENST00000523261,NKX3-1
ENST00000419727,JDP2
ENST00000559773,JDP2
ENST00000559060,JDP2
ENST00000558068,JDP2
ENST00000435893,JDP2
ENST00000267569,JDP2
ENST00000651602,JDP2
ENST00000437176,JDP2
ENST00000376335,ZIC2
ENST00000490085,ZIC2
ENST00000468291,ZIC2
ENST00000477213,ZIC2
ENST00000481565,ZIC2
ENST00000302945,GSX1
ENST00000354452,TCF4
ENST00000616053,TCF4
ENST00000643689,TCF4
ENST00000356073,TCF4
ENST00000636400,TCF4
ENST00000637169,TCF4
ENST00000637923,TCF4
ENST00000635990,TCF4
ENST00000636822,TCF4
ENST00000637250,TCF4
ENST00000637239,TCF4
ENST00000638154,TCF4
ENST00000637115,TCF4
ENST00000635822,TCF4
ENST00000636751,TCF4
ENST00000570287,TCF4
ENST00000564999,TCF4
ENST00000629387,TCF4
ENST00000568673,TCF4
ENST00000457482,TCF4
ENST00000543082,TCF4
ENST00000540999,TCF4
ENST00000537578,TCF4
ENST00000562680,TCF4
ENST00000568740,TCF4
ENST00000626631,TCF4
ENST00000537856,TCF4
ENST00000544241,TCF4
ENST00000675707,TCF4
ENST00000561992,TCF4
ENST00000561831,TCF4
ENST00000674764,TCF4
ENST00000564228,TCF4
ENST00000567880,TCF4
ENST00000566286,TCF4
ENST00000566279,TCF4
ENST00000565018,TCF4
ENST00000564403,TCF4
ENST00000398339,TCF4
ENST00000570177,TCF4
ENST00000626584,TCF4
ENST00000626466,TCF4
ENST00000630720,TCF4
ENST00000563760,TCF4
ENST00000628689,TCF4
ENST00000629343,TCF4
ENST00000570146,TCF4
ENST00000628636,TCF4
ENST00000627136,TCF4
ENST00000628078,TCF4
ENST00000628360,TCF4
ENST00000562030,TCF4
ENST00000563686,TCF4
ENST00000566514,TCF4
ENST00000630828,TCF4
ENST00000562607,TCF4
ENST00000569012,TCF4
ENST00000630268,TCF4
ENST00000630319,TCF4
ENST00000568169,TCF4
ENST00000625925,TCF4
ENST00000566777,TCF4
ENST00000565580,TCF4
ENST00000630712,TCF4
ENST00000568186,TCF4
ENST00000562638,TCF4
ENST00000631043,TCF4
ENST00000565908,TCF4
ENST00000627685,TCF4
ENST00000626595,TCF4
ENST00000637068,TCF4
ENST00000626425,TCF4
ENST00000566376,TCF4
ENST00000590810,TCF4
ENST00000563824,TCF4
ENST00000568147,TCF4
ENST00000563888,TCF4
ENST00000564343,TCF4
ENST00000627784,TCF4
ENST00000625716,TCF4
ENST00000562543,TCF4
ENST00000562847,TCF4
ENST00000569357,TCF4
ENST00000674598,TCF4
ENST00000637500,TCF4
ENST00000627320,TCF4
ENST00000630224,TCF4
ENST00000636710,TCF4
ENST00000565124,TCF4
ENST00000627568,TCF4
ENST00000637941,TCF4
ENST00000628391,TCF4
ENST00000565393,TCF4
ENST00000381033,PDX1
ENST00000429762,VSX1
ENST00000444511,VSX1
ENST00000409285,VSX1
ENST00000409958,VSX1
ENST00000376709,VSX1
ENST00000557285,VSX1
ENST00000376707,VSX1
ENST00000484078,SUPT20H
ENST00000490716,SUPT20H
ENST00000350612,SUPT20H
ENST00000495071,SUPT20H
ENST00000360252,SUPT20H
ENST00000475892,SUPT20H
ENST00000472948,SUPT20H
ENST00000469488,SUPT20H
ENST00000356185,SUPT20H
ENST00000473871,SUPT20H
ENST00000464744,SUPT20H
ENST00000466563,SUPT20H
ENST00000493537,SUPT20H
ENST00000476539,SUPT20H
ENST00000490602,SUPT20H
ENST00000478911,SUPT20H
ENST00000464572,SUPT20H
ENST00000483241,SUPT20H
ENST00000476109,SUPT20H
ENST00000497318,SUPT20H
ENST00000470359,SUPT20H
ENST00000471868,SUPT20H
ENST00000488590,SUPT20H
ENST00000376105,ID1
ENST00000376112,ID1
ENST00000379540,NFX1
ENST00000379521,NFX1
ENST00000318524,NFX1
ENST00000466359,NFX1
ENST00000466971,NFX1
ENST00000463421,NFX1
ENST00000375978,FOXS1
ENST00000486776,OVOL2
ENST00000278780,OVOL2
ENST00000483661,OVOL2
ENST00000494030,OVOL2
ENST00000462208,OVOL2
ENST00000430860,OLIG2
ENST00000382357,OLIG2
ENST00000333337,OLIG2
ENST00000382348,OLIG1
ENST00000426947,OLIG1
ENST00000498799,OLIG1
ENST00000461124,KLF6
ENST00000497571,KLF6
ENST00000173785,KLF6
ENST00000492125,KLF6
ENST00000469435,KLF6
ENST00000380946,KLF6
ENST00000542957,KLF6
ENST00000288840,SMAD6
ENST00000612349,SMAD6
ENST00000557916,SMAD6
ENST00000559931,SMAD6
ENST00000558937,SMAD6
ENST00000358127,PAX5
ENST00000377852,PAX5
ENST00000523241,PAX5
ENST00000651550,PAX5
ENST00000377853,PAX5
ENST00000377840,PAX5
ENST00000520154,PAX5
ENST00000520281,PAX5
ENST00000446742,PAX5
ENST00000522003,PAX5
ENST00000523145,PAX5
ENST00000523493,PAX5
ENST00000414447,PAX5
ENST00000377847,PAX5
ENST00000524340,PAX5
ENST00000522932,PAX5
ENST00000520083,PAX5
ENST00000651199,PAX5
ENST00000322927,ZNF335
ENST00000475002,ZNF335
ENST00000476822,ZNF335
ENST00000494955,ZNF335
ENST00000513692,IRX4
ENST00000231357,IRX4
ENST00000505790,IRX4
ENST00000508261,IRX4
ENST00000505938,IRX4
ENST00000511126,IRX4
ENST00000613726,IRX4
ENST00000622814,IRX4
ENST00000429584,YY2
ENST00000343380,E2F1
ENST00000475254,TFDP1
ENST00000464794,TFDP1
ENST00000465174,TFDP1
ENST00000375370,TFDP1
ENST00000544902,TFDP1
ENST00000408980,TFDP1
ENST00000453989,TFDP1
ENST00000494812,TFDP1
ENST00000621843,KLF13
ENST00000616962,KLF13
ENST00000398905,ERG
ENST00000398907,ERG
ENST00000398897,ERG
ENST00000398911,ERG
ENST00000417133,ERG
ENST00000398910,ERG
ENST00000288319,ERG
ENST00000453032,ERG
ENST00000398919,ERG
ENST00000481609,ERG
ENST00000492833,ERG
ENST00000468474,ERG
ENST00000473107,ERG
ENST00000485493,ERG
ENST00000442448,ERG
ENST00000492432,PIR
ENST00000380420,PIR
ENST00000380421,PIR
ENST00000484433,PIR
ENST00000476381,PIR
ENST00000471725,PIR
ENST00000375790,MKX
ENST00000460919,MKX
ENST00000561227,MKX
ENST00000419761,MKX
ENST00000517683,ZFHX4
ENST00000651372,ZFHX4
ENST00000458716,ZFHX4
ENST00000520307,ZFHX4
ENST00000523885,ZFHX4
ENST00000517585,ZFHX4
ENST00000523809,ZFHX4
