Sample_ID,Tissue
GTEX-14E6D-2526-SM-5YYA9,kidney
GTEX-14C5O-2026-SM-5YYB1,kidney
GTEX-T5JC-1526-SM-4DM68,kidney
GTEX-1EKGG-2226-SM-7IGOA,kidney
GTEX-1NV8Z-2226-SM-EXOJ2,kidney
GTEX-17HHY-2326-SM-7KFSR,kidney
GTEX-1GMR3-2426-SM-7MXV2,kidney
GTEX-1JMQJ-1726-SM-E9U4V,kidney
GTEX-12WSG-0826-SM-5EQ5A,kidney
GTEX-13NYB-1726-SM-5N9G2,kidney
GTEX-1BAJH-1826-SM-731DA,kidney
GTEX-1K9T9-1826-SM-CXZK2,kidney
GTEX-1GF9V-1926-SM-9JGHE,kidney
GTEX-11OF3-1326-SM-5N9FJ,kidney
GTEX-1KWVE-0826-SM-CXZKO,kidney
GTEX-1HBPI-2026-SM-CE6RZ,kidney
GTEX-Y5V6-2026-SM-5IFHO,kidney
GTEX-QLQW-1626-SM-CMKFE,kidney
GTEX-1GN1U-2126-SM-AHZ4J,kidney
GTEX-T6MN-1826-SM-EXOHN,kidney
GTEX-13OW6-1826-SM-5N9F9,kidney
GTEX-16MT8-1926-SM-7EPGL,kidney
GTEX-REY6-1826-SM-EAZAT,kidney
GTEX-1R9PO-1626-SM-E6CPT,kidney
GTEX-1QP6S-1526-SM-EXUSG,kidney
GTEX-ZC5H-1726-SM-5HL7X,kidney
GTEX-1JMLX-1526-SM-AHZ3N,kidney
GTEX-1IKK5-0926-SM-A9G2U,kidney
GTEX-1J1OQ-1426-SM-AHZ3P,kidney
GTEX-O5YV-1226-SM-EV795,kidney
GTEX-17F97-1926-SM-7IGM4,kidney
GTEX-1A8FM-2026-SM-7P8RN,kidney
GTEX-S33H-1426-SM-EZ6L7,kidney
GTEX-1GF9W-1326-SM-7P8PX,kidney
GTEX-1IL2V-1826-SM-ARU7R,kidney
GTEX-1497J-0826-SM-5NQAJ,kidney
GTEX-1GTWX-1826-SM-9QEHG,kidney
GTEX-1PWST-2226-SM-EVR3G,kidney
GTEX-QDT8-1726-SM-EYYV6,kidney
GTEX-15DYW-2026-SM-6AJBD,kidney
GTEX-1C6VQ-2326-SM-7IGN1,kidney
GTEX-1N2DW-1826-SM-EAZ54,kidney
GTEX-14C39-2126-SM-664OH,kidney
GTEX-1CB4J-1926-SM-7MGX8,kidney
GTEX-11TTK-1926-SM-5PNW8,kidney
GTEX-XPVG-0526-SM-4B65N,kidney
GTEX-QDVN-1626-SM-48TZC,kidney
GTEX-ZE9C-1426-SM-4WKGM,kidney
GTEX-1H3NZ-2126-SM-9WPQ6,kidney
GTEX-1JJ6O-2526-SM-AHZ3J,kidney
GTEX-1JMPZ-1226-SM-ARU8Y,kidney
GTEX-1H3VY-1926-SM-9JGHJ,kidney
GTEX-1HB9E-1826-SM-D4P33,kidney
GTEX-147F4-2626-SM-5Q5CS,kidney
GTEX-15CHQ-2126-SM-6871M,kidney
GTEX-17F96-1926-SM-7MGWY,kidney
GTEX-1MUQO-2526-SM-E9TJN,kidney
GTEX-145MN-0326-SM-5QGQI,kidney
GTEX-ZYT6-2226-SM-5GIC9,kidney
GTEX-1AX8Z-2326-SM-731CR,kidney
GTEX-P4QS-1126-SM-3NMD5,kidney
GTEX-1E2YA-1626-SM-7MGXS,kidney
GTEX-1LG7Y-2726-SM-D5OVW,kidney
GTEX-Y5V5-1226-SM-EYYVP,kidney
GTEX-11GS4-2326-SM-5A5KS,kidney
GTEX-ZDXO-0226-SM-4WKH7,kidney
GTEX-ZLFU-0926-SM-5P9F8,kidney
GTEX-NPJ8-2226-SM-3TW8D,kidney
GTEX-ZYFG-1626-SM-5GZYY,kidney
GTEX-RN64-1626-SM-48FD7,kidney
GTEX-1HCU7-1826-SM-A9G2A,kidney
GTEX-13112-2126-SM-5GCO4,kidney
GTEX-1F48J-2226-SM-7MXTN,kidney
GTEX-13OVI-1126-SM-5KLZF,kidney
GTEX-13OVL-1826-SM-5KLZR,kidney
GTEX-1A3MW-2226-SM-73KUX,kidney
GTEX-13O1R-2526-SM-5N9FW,kidney
GTEX-1N2EF-1426-SM-EXUSH,kidney
GTEX-13RTJ-2226-SM-5S2Q1,kidney
GTEX-1I1GP-1926-SM-CNNQU,kidney
GTEX-1OJC4-2326-SM-DTXA5,kidney
GTEX-1JMQK-1926-SM-CJI3B,kidney
GTEX-12696-0926-SM-5FQTV,kidney
GTEX-ZVZP-0926-SM-5GIDB,kidney
GTEX-1399S-0526-SM-5IJG8,kidney
