"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation_status"
"ENSG00000172183",5.67687606334975,5.93319989811426,0.731733043701194,8.10842143755517,5.12816041797177e-16,3.54736968362451e-15,"Upregulated"
"ENSG00000172346",26.2881115508031,8.14261114496458,0.773061960366583,10.5329346965971,6.0905499323576e-26,6.35853412938134e-24,"Upregulated"
"ENSG00000172348",17.7844302438606,7.57817172614054,0.812999540459195,9.32124970434826,1.14977947431059e-20,3.00863888663431e-19,"Upregulated"
"ENSG00000172349",10.3322724735352,6.79289581389789,0.720269203066569,9.43105131383782,4.05998957401968e-21,1.20135563587053e-19,"Upregulated"
"ENSG00000172469",3.66180973148806,5.29492900249342,0.713860611548802,7.41731497274442,1.19518483693074e-13,5.5223724262905e-13,"Upregulated"
"ENSG00000172530",3.70881519187327,5.31594496338339,0.713478079912313,7.45074742035063,9.28129028142066e-14,4.3356702053502e-13,"Upregulated"
"ENSG00000172572",5.25974353416144,5.82017360510118,0.72506729410929,8.02708059291377,9.98195145028968e-16,6.49241430111812e-15,"Upregulated"
"ENSG00000172667",4.09591117500016,5.4593540318959,0.712880730962402,7.65815906473678,1.88617187911154e-14,9.52348390747835e-14,"Upregulated"
"ENSG00000172716",21.2703122029964,7.83544907022283,0.720123302638525,10.8807047925179,1.42457200545648e-27,2.26573725680336e-25,"Upregulated"
"ENSG00000172789",8.76639702673162,6.56510851029405,0.706415345486463,9.29355308069232,1.4922193055994e-20,3.76905714930429e-19,"Upregulated"
"ENSG00000172824",30.3093181601565,8.34740725969664,1.18129722380186,7.06630566084928,1.59112739102311e-12,7.00977524917734e-12,"Upregulated"
"ENSG00000172878",6.69798725278082,6.1691692576003,0.73954087983291,8.34189079445365,7.31119581170524e-17,6.32559814427094e-16,"Upregulated"
"ENSG00000172893",9.28958861027093,6.64149493130003,0.730419431926131,9.09271391341037,9.65971692803511e-20,1.93175360727838e-18,"Upregulated"
"ENSG00000172985",6.19219555836093,6.05131509274854,0.73211698226542,8.26550297197548,1.39106977455046e-16,1.11845965522505e-15,"Upregulated"
"ENSG00000173068",14.3121220704619,7.26801898846276,0.741622574027831,9.80015879099981,1.12408795418207e-22,5.14251293735698e-21,"Upregulated"
"ENSG00000173175",13.1744994028319,7.14689778060699,0.765456005429775,9.33678451786954,9.93040971251547e-21,2.6461162425051e-19,"Upregulated"
"ENSG00000173276",6.11044052302737,6.02897103231853,0.730579522293223,8.25231319568626,1.55357625924258e-16,1.22921513741393e-15,"Upregulated"
"ENSG00000173482",17.2302300652482,7.53183188653134,0.700724657405772,10.7486325861798,6.01466471031771e-27,7.84913744696462e-25,"Upregulated"
"ENSG00000173517",4.32085186444929,5.53555369919044,0.711061497808136,7.78491553297981,6.97597977282594e-15,3.7972458881067e-14,"Upregulated"
"ENSG00000173530",7.40950047216044,6.31051761985671,0.768223082646297,8.21443375291312,2.13167738899866e-16,1.62595310173229e-15,"Upregulated"
"ENSG00000173546",18.0513160283015,7.59997134239937,0.797906363184013,9.52489125675349,1.65214803346385e-21,5.49582184072828e-20,"Upregulated"
"ENSG00000173641",47.9041412039284,9.00775356552596,0.778638941860677,11.5685885732873,5.94526347232837e-31,1.90485563564321e-28,"Upregulated"
"ENSG00000173818",5.14628308639656,5.78906167805237,0.719886220310141,8.04163423986409,8.86481607124366e-16,5.81223592845019e-15,"Upregulated"
"ENSG00000173852",7.7765214186162,6.38128052821974,0.705420185951899,9.04607020794109,1.48206180478798e-19,2.79886959386583e-18,"Upregulated"
"ENSG00000174099",37.5224357769631,8.65556886711001,0.777972035131162,11.1258097672505,9.39488730670825e-29,1.91261115789967e-26,"Upregulated"
"ENSG00000174151",4.2626907686149,5.51674921555826,0.71280590522057,7.73948304181229,9.98218511545991e-15,5.27974342895643e-14,"Upregulated"
"ENSG00000174165",4.60269703948108,5.62557536142732,0.709396838187001,7.93008237223689,2.19000575759308e-15,1.30898817419495e-14,"Upregulated"
"ENSG00000174177",8.44443981942282,6.50555390394587,0.705591461891964,9.22000088620966,2.97097762179434e-20,6.84973526891158e-19,"Upregulated"
"ENSG00000174197",4.75622819463426,5.67588421622022,0.707468671980731,8.02280643795746,1.0335614842888e-15,6.68400403340259e-15,"Upregulated"
"ENSG00000174428",7.44917007509498,6.32511782081701,0.705493752023629,8.96551925892203,3.08822305261168e-19,5.35519973637723e-18,"Upregulated"
"ENSG00000174460",157.590538990926,10.7258779569999,0.818906741872027,13.0978015060426,3.38933661718842e-39,5.76161005490413e-36,"Upregulated"
"ENSG00000174485",4.96913919987019,5.74083785372247,0.708710385071156,8.10040035344773,5.47786163688508e-16,3.75988898191863e-15,"Upregulated"
"ENSG00000174628",7.64720035818616,6.36040194258251,0.836494002220454,7.60364321286102,2.87908315240234e-14,1.42250386973328e-13,"Upregulated"
"ENSG00000174928",4.67251003663841,5.65677858805108,0.709882065865437,7.96861740851946,1.60459378456033e-15,9.87494566689214e-15,"Upregulated"
"ENSG00000175104",5.57218351176457,5.90686503900706,0.706503864641118,8.36069742096536,6.23485682394448e-17,5.51500916146095e-16,"Upregulated"
"ENSG00000175387",2.93557224179668,4.97791751524245,0.719194885802451,6.92151406178072,4.46841771907491e-12,1.95672290653747e-11,"Upregulated"
"ENSG00000175395",11.5576695004636,6.95681775121473,0.701664399056446,9.9147366754959,3.59202378026102e-23,1.89446684244958e-21,"Upregulated"
"ENSG00000175463",4.81169572973163,5.68559880249315,0.744821780587333,7.63350233663916,2.28460563443428e-14,1.14219060672429e-13,"Upregulated"
"ENSG00000175505",19.4219385788455,7.70414324373282,0.766738196247853,10.0479450240437,9.38030613802698e-24,5.73466283357217e-22,"Upregulated"
"ENSG00000175538",4.30506567539249,5.53416179709134,0.714483035910733,7.74568676782799,9.5066602633243e-15,5.05449437557472e-14,"Upregulated"
"ENSG00000175879",11.752596432349,6.98185381394537,0.717324849429315,9.73318269888455,2.17673555096056e-22,9.15578147654029e-21,"Upregulated"
"ENSG00000176473",4.08364955872634,5.45826990514491,0.714957483085889,7.63439789676165,2.26878209371829e-14,1.13455823787563e-13,"Upregulated"
"ENSG00000176485",16.8859561732731,7.50516702218459,0.695901758880783,10.784808238242,4.06089396052377e-27,5.62392375839067e-25,"Upregulated"
"ENSG00000176533",9.54235503559058,6.68226137755339,0.70595985628996,9.46549767386315,2.92166424979692e-21,8.97122787290585e-20,"Upregulated"
"ENSG00000176909",7.03626418771056,6.24879134365324,0.726413538459927,8.60225066413456,7.81678382145631e-18,8.93034866536443e-17,"Upregulated"
"ENSG00000177125",4.14584105660348,5.4782808961764,0.711628906919625,7.69822704348792,1.37967071925148e-14,7.15054391612059e-14,"Upregulated"
"ENSG00000177150",3.37831090459868,5.18071873158976,0.71610003826262,7.23462987679635,4.66800434651306e-13,2.08127973031785e-12,"Upregulated"
"ENSG00000177311",10.5205298355594,6.82395319421351,0.703976177858018,9.69344334204134,3.21502741911951e-22,1.27835016012568e-20,"Upregulated"
"ENSG00000177374",11.9381965584866,7.00057295817334,0.701488535366626,9.97959710704973,1.87225448868954e-23,1.07463573031437e-21,"Upregulated"
"ENSG00000177432",6.9905083590109,6.2247413240401,0.725952550785987,8.57458427179653,9.94453478035283e-18,1.10568453882263e-16,"Upregulated"
"ENSG00000177464",7.36706548285135,6.30320962351851,0.748852518940476,8.41715753648887,3.85728824807476e-17,3.64055049394093e-16,"Upregulated"
"ENSG00000177575",59.5108443985901,9.32052872553706,1.10048088976786,8.4695052973643,2.46437410077572e-17,2.45568908191837e-16,"Upregulated"
"ENSG00000177683",7.1581178709631,6.26984849232596,0.703455439225051,8.91292915331357,4.97017425206209e-19,8.17308622160582e-18,"Upregulated"
"ENSG00000177685",8.49139637509573,6.51073602491979,0.754620415977651,8.62782915366103,6.25273850603185e-18,7.38788453312806e-17,"Upregulated"
"ENSG00000177888",3.10235147542178,5.05742042210196,0.717689641845224,7.04680704196736,1.8306990276577e-12,8.0565003901979e-12,"Upregulated"
"ENSG00000177990",8.59590153884346,6.53244860175882,0.707425728174159,9.23411227722638,2.60436554559055e-20,6.08721857372358e-19,"Upregulated"
"ENSG00000178053",8.05929165563353,6.43452560703598,0.83750947678814,7.68292871349046,1.55492124143684e-14,7.96354380708709e-14,"Upregulated"
"ENSG00000178105",5.10900025878023,5.78552759900256,0.712309634322901,8.12220882636538,4.57774777173979e-16,3.19704250899069e-15,"Upregulated"
"ENSG00000178814",5.72252910069457,5.93846793578723,0.711917040885642,8.34151677054905,7.33436235325014e-17,6.34294599776833e-16,"Upregulated"
"ENSG00000178904",6.67854360161751,6.15937708392701,0.70454102845187,8.74239658896995,2.2821674095391e-18,3.05058201729462e-17,"Upregulated"
"ENSG00000179532",4.48599718522587,5.59013413813005,0.717202241262658,7.7943623381439,6.47345437859865e-15,3.54074648682191e-14,"Upregulated"
"ENSG00000179859",5.60067825611356,5.90955775039841,0.720935506227211,8.19706853019935,2.46320034723343e-16,1.85117807435671e-15,"Upregulated"
"ENSG00000179954",17.0512355725368,7.51736491584591,0.735666292258509,10.2184441436993,1.63951146457444e-24,1.20061778402181e-22,"Upregulated"
"ENSG00000180008",6.31898363509571,6.0833187005897,0.702751058922459,8.65643476925864,4.86749401844487e-18,5.94624902239604e-17,"Upregulated"
"ENSG00000180035",6.20268821444043,6.064870877212,0.714697115672189,8.48593165442938,2.13997200403054e-17,2.16851916665275e-16,"Upregulated"
"ENSG00000180376",8.04336967817273,6.43665002506916,0.710233255347003,9.06272689515836,1.27229287252188e-19,2.46210440102665e-18,"Upregulated"
"ENSG00000180425",6.43574801031595,6.11080111401845,0.75808779658362,8.06080923813473,7.57910244418762e-16,5.04563007059423e-15,"Upregulated"
"ENSG00000180440",44.6000966724899,8.90554328680795,0.817326371752086,10.8959451139663,1.20508828447158e-27,1.94707835676765e-25,"Upregulated"
"ENSG00000180447",73.6433000900016,9.62783220178422,0.777525808964543,12.3826528853183,3.2443834115948e-35,2.27755715493955e-32,"Upregulated"
"ENSG00000180543",12.3728634666421,7.0554866297078,0.72018246479744,9.79680424695183,1.16203991081465e-22,5.292350895831e-21,"Upregulated"
"ENSG00000180773",4.26894771700874,5.51718141707341,0.710465839639696,7.76558295874069,8.12705500555982e-15,4.36775569702183e-14,"Upregulated"
"ENSG00000180979",3.94612408243003,5.40092488885634,0.712904468138582,7.57594478676553,3.56523421817248e-14,1.74306047582986e-13,"Upregulated"
"ENSG00000181220",5.03999762420491,5.75791269159921,0.707312693193814,8.14054766301425,3.93493890607507e-16,2.79509721737182e-15,"Upregulated"
"ENSG00000181234",14.5764185308668,7.29336296440964,0.721492995070541,10.1087093211439,5.0545760177474e-24,3.3193889861065e-22,"Upregulated"
"ENSG00000181264",9.79089286699861,6.71846117733072,0.782648391352987,8.58426497972649,9.1419035264818e-18,1.02540425340009e-16,"Upregulated"
"ENSG00000181274",5.6660966879816,5.92403340583139,0.708462864369385,8.36181217642857,6.17621178656772e-17,5.47389288423795e-16,"Upregulated"
"ENSG00000181381",4.12395340831514,5.46181051355637,0.713799786712928,7.65174018713034,1.98277540262604e-14,9.99389493603884e-14,"Upregulated"
"ENSG00000181638",3.72100784482125,5.31713471091812,0.71597296920416,7.42644616434107,1.11554269635589e-13,5.16846113163705e-13,"Upregulated"
"ENSG00000181826",4.48521016701199,5.58985829474259,0.710326012622309,7.86942642591185,3.56270859913737e-15,2.03584565864466e-14,"Upregulated"
"ENSG00000181856",11.5249069673246,6.95332606235566,0.750972681371869,9.2590932198138,2.06175671466156e-20,5.00874023831505e-19,"Upregulated"
"ENSG00000181894",5.19507005306373,5.80395577237226,0.706483278827842,8.21527691639335,2.11675215097788e-16,1.61942278427688e-15,"Upregulated"
"ENSG00000181982",10.562770410198,6.82689303947392,0.701551633993037,9.73113411569886,2.22102701057921e-22,9.32281811987042e-21,"Upregulated"
"ENSG00000182013",11.7561392040854,6.98140564230152,0.818136736794945,8.53329929866151,1.42232095532194e-17,1.51600052400231e-16,"Upregulated"
"ENSG00000182093",11.0496221823579,6.89010736361087,0.722031091030557,9.54267406099728,1.39195968392634e-21,4.7150607729405e-20,"Upregulated"
"ENSG00000182107",5.86921640480853,5.97625874078864,0.809368700530961,7.38385205267773,1.53774316225301e-13,7.03649703239979e-13,"Upregulated"
"ENSG00000182224",7.06811501839809,6.24495931637251,0.760493820127451,8.21171606013304,2.18049417132248e-16,1.65821816734341e-15,"Upregulated"
"ENSG00000182253",35.1771264972957,8.56249413870971,0.781725047856308,10.9533322006123,6.40472681355888e-28,1.09569267622211e-25,"Upregulated"
"ENSG00000182287",6.89855548965377,6.21377994681666,0.713475143334639,8.70917509161525,3.06094151715586e-18,3.96314419861292e-17,"Upregulated"
"ENSG00000182463",4.3628874441733,5.55232998854265,0.725957442037981,7.64828579063201,2.03676152128122e-14,1.02482429684239e-13,"Upregulated"
"ENSG00000182481",9.23517222880749,6.63135837823396,0.769401777756172,8.61884982586493,6.76299820750135e-18,7.90305308598628e-17,"Upregulated"
"ENSG00000182511",18.9668835708418,7.6701992625113,0.71202843604394,10.7723215453687,4.65122723041776e-27,6.31264559712298e-25,"Upregulated"
"ENSG00000182568",6.43689618181966,6.11080553278473,0.751007263570841,8.13681282352645,4.05819383992509e-16,2.86963217065631e-15,"Upregulated"
"ENSG00000182575",9.64356426060708,6.69835797187741,0.748631230895683,8.9474733292429,3.63711813053517e-19,6.18067202850042e-18,"Upregulated"
"ENSG00000182578",11.2319250324655,6.9110163924423,0.792695370126182,8.71837612895631,2.82220078571175e-18,3.69957267195877e-17,"Upregulated"
"ENSG00000182742",14.1131476731675,7.24563753717545,0.803044221636792,9.02271299880242,1.83487798305521e-19,3.36526540351694e-18,"Upregulated"
"ENSG00000182916",17.0493428360526,7.51835036646552,0.759694883521544,9.89653942595273,4.30928729949871e-23,2.20423293575866e-21,"Upregulated"
"ENSG00000182957",6.73493781807808,6.17382497544041,0.727817242143639,8.48265830753975,2.20106328967067e-17,2.22157890188971e-16,"Upregulated"
"ENSG00000183044",4.79915086982022,5.68390973464597,0.752695546778422,7.55140608838915,4.30583972427719e-14,2.08412470534558e-13,"Upregulated"
"ENSG00000183060",5.25180908287472,5.82852450402205,0.715282601074142,8.14856183453831,3.68277725436294e-16,2.63528925639089e-15,"Upregulated"
"ENSG00000183111",9.30161974332463,6.64551689872575,0.727797383706051,9.13099860964848,6.78703150864356e-20,1.41278514778083e-18,"Upregulated"
"ENSG00000183155",3.72549693712531,5.31746740432381,0.716064365819061,7.4259628856709,1.11962391946359e-13,5.18618970476444e-13,"Upregulated"
"ENSG00000183426",13.8441875585573,7.21636787041639,0.703379180686148,10.2595698999461,1.07183060112893e-24,8.26527552188741e-23,"Upregulated"
"ENSG00000183580",16.2058054500409,7.4426229067409,0.705060988164579,10.5559987457477,4.76544370576384e-26,5.18796272523745e-24,"Upregulated"
"ENSG00000183597",5.50336174922975,5.88081205545232,0.705487688670073,8.33581102816739,7.69687649318236e-17,6.61989909793859e-16,"Upregulated"
"ENSG00000183688",8.99040195867934,6.59253904753469,0.724818518526836,9.09543406939126,9.42093897814995e-20,1.89143467176703e-18,"Upregulated"
"ENSG00000183807",11.4293576897531,6.94204043005274,0.758854483983045,9.14805219785437,5.79692877557459e-20,1.22548157853736e-18,"Upregulated"
"ENSG00000183833",15.3473164492727,7.36533062182329,1.00981310611377,7.29375621808727,3.0143064813889e-13,1.35225322494745e-12,"Upregulated"
"ENSG00000184058",8.49162608025074,6.51305866516456,0.741275281801219,8.7862887446328,1.54581967927963e-18,2.16883508137662e-17,"Upregulated"
"ENSG00000184160",26.7339434968003,8.16739405581825,0.725540455317839,11.2569795329198,2.13967170453686e-29,4.73472136532188e-27,"Upregulated"
"ENSG00000184194",7.6888538372277,6.37236499558027,0.727442547984451,8.75995638863357,1.95325930229413e-18,2.66074433595547e-17,"Upregulated"
"ENSG00000184271",12.2205480607965,7.03898777706772,0.722539753688237,9.74200760738339,1.99571986881791e-22,8.48201776396558e-21,"Upregulated"
"ENSG00000184304",6.10905933059172,6.02966074721374,0.738868470874666,8.1606686235723,3.3317507548347e-16,2.41896511650945e-15,"Upregulated"
"ENSG00000184313",7.32688802537622,6.30132397269106,0.726981922726719,8.66778633099491,4.40602564908533e-18,5.45939562775892e-17,"Upregulated"
"ENSG00000184497",5.80471753795339,5.96330867372413,0.730663528442455,8.16149765465375,3.30895816717768e-16,2.404131704761e-15,"Upregulated"
"ENSG00000184785",18.6460732517123,7.64517317466143,0.704819240130518,10.846998406635,2.06082159959074e-27,3.09948258758528e-25,"Upregulated"
"ENSG00000184905",21.0654877458019,7.82324301300979,0.769001932567661,10.1732423309891,2.6107063342844e-24,1.81395083799869e-22,"Upregulated"
"ENSG00000184937",39.7508045638531,8.73756375903449,0.713137496349125,12.2522848732062,1.63328465226834e-34,1.00758815002663e-31,"Upregulated"
"ENSG00000184986",4.37072077606468,5.55356977678638,0.732384626895909,7.58285956973765,3.38020656437397e-14,1.65757960544676e-13,"Upregulated"
"ENSG00000185088",10.3915326968573,6.80375050154357,0.704376585257947,9.65925137765901,4.49133972894114e-22,1.72844412479742e-20,"Upregulated"
"ENSG00000185115",5.11855179731536,5.77567649930458,0.709859008853912,8.13637134595161,4.07301235229208e-16,2.87811126233815e-15,"Upregulated"
"ENSG00000185219",4.47494571356932,5.58912704615297,0.710172507413093,7.87009774077594,3.54364288680067e-15,2.02872558744342e-14,"Upregulated"
"ENSG00000185252",4.67354121146698,5.65652765808028,0.712312226118155,7.94107899692571,2.00429966863016e-15,1.20684805246888e-14,"Upregulated"
"ENSG00000185361",7.49071019620621,6.32940269164096,0.873352466857424,7.24724888499598,4.25321998246952e-13,1.89967205798847e-12,"Upregulated"
"ENSG00000185418",7.45235326548646,6.32502021193093,0.713898793772357,8.85982756534507,8.01382977071263e-19,1.24159472201041e-17,"Upregulated"
"ENSG00000185437",6.92057245266949,6.21648442925096,0.762105058973406,8.15699142271129,3.43472771027322e-16,2.48046068555311e-15,"Upregulated"
"ENSG00000185499",41.8182310682158,8.81187718150673,0.93326281600331,9.4420103645011,3.65694599636166e-21,1.09161446618667e-19,"Upregulated"
"ENSG00000185561",3.70122645958681,5.31531044672196,0.714494680062208,7.43925825488187,1.01252207583492e-13,4.70303177921416e-13,"Upregulated"
"ENSG00000186020",7.45830002989637,6.32548881773811,0.719206856150282,8.79508970700964,1.42933741494389e-18,2.02918068991825e-17,"Upregulated"
"ENSG00000186088",9.04435176752871,6.60205264449394,0.773935879915512,8.53049046545647,1.45728544119957e-17,1.54840381064409e-16,"Upregulated"
"ENSG00000186376",5.63211734205329,5.92127550554648,0.709009266179743,8.35147830641378,6.74138287177529e-17,5.8876478980524e-16,"Upregulated"
"ENSG00000186998",8.58819758721259,6.52985544312109,0.744874364273967,8.76638498558851,1.84494395059781e-18,2.53095478074597e-17,"Upregulated"
"ENSG00000187098",8.14340591562323,6.45102105093915,0.75739382599028,8.51739323660917,1.63184668820662e-17,1.71066605965553e-16,"Upregulated"
"ENSG00000187118",3.6980467742896,5.31508160255967,0.714462022027297,7.43927800035899,1.01237075774477e-13,4.70303177921416e-13,"Upregulated"
"ENSG00000187231",6.78557192188777,6.19073504737832,0.707016555102175,8.7561387391893,2.02052985792548e-18,2.74043616573264e-17,"Upregulated"
"ENSG00000187266",17.2986457808216,7.53879016274614,0.800683970349826,9.41543785303005,4.71114698339206e-21,1.36041886933185e-19,"Upregulated"
"ENSG00000187634",13.1715929513483,7.14667777887758,0.762032599259673,9.37844100871891,6.69553655478048e-21,1.8494943443992e-19,"Upregulated"
"ENSG00000187676",7.276741250166,6.28621781808666,0.71644790585711,8.77414500997983,1.72207206788994e-18,2.39303366266918e-17,"Upregulated"
"ENSG00000187688",8.82293436381349,6.56253964259333,0.765252678495452,8.57565066677821,9.85281778155923e-18,1.09728481617605e-16,"Upregulated"
"ENSG00000187824",4.5419174356596,5.60777344193947,0.711283976852765,7.88401485824596,3.17026565854227e-15,1.83041033115722e-14,"Upregulated"
"ENSG00000188026",6.1108157124515,6.04189410193955,0.706362569343834,8.55353095443901,1.193792628111e-17,1.3008524929323e-16,"Upregulated"
"ENSG00000188130",9.35009178477631,6.65605513397803,0.726607288373615,9.16045743069336,5.16777912072921e-20,1.10394173494024e-18,"Upregulated"
"ENSG00000188321",6.68447391365016,6.16787516033373,0.708025085666754,8.71137942030032,3.00199010671575e-18,3.89760934901271e-17,"Upregulated"
"ENSG00000188343",7.21319026086816,6.28012096200799,0.710606137763377,8.83769591657986,9.77127940656856e-19,1.46590793042684e-17,"Upregulated"
