TF_gene,tissue_brain,TF_transcript_id_brain,target_gene_brain,target_transcript_id_brain,importance_brain,brain_percentage,brain_opposite_percentage,tissue_kidney,TF_transcript_id_kidney,target_gene_kidney,target_transcript_id_kidney,importance_kidney,kidney_percentage,kidney_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
MRPS18B,brain,MRPS18B-206,TSG101,TSG101-201,5.267874016407851,0.0,0.0,kidney,0,RNF14,RNF14-203,6.127251567307332,0.3502539734556776,0.6497460265443225,-6.71200747753179,Downregulated,False
NALF2,brain,NALF2-201,ZBTB7A,ZBTB7A-201,5.256455383038091,0.0,0.0,kidney,0,BRCA1,BRCA1-201,4.364382567009424,0.2545314900153609,0.7454685099846391,-3.18907885674956,Downregulated,False
B3GAT1,brain,B3GAT1-202,TLE5,TLE5-202,5.25633287799492,0.0,0.0,kidney,0,MLXIPL,MLXIPL-211,4.445986145953293,0.0,0.0,-6.25870872511963,Downregulated,False
CFAP70,brain,0,RFX2,RFX2-201,5.255611581188237,0.0,0.0,kidney,0,TFAP2B,TFAP2B-202,4.982285942509526,0.0,0.0,0.0,0,False
NUMA1,brain,NUMA1-229,SRSF2,SRSF2-203,5.255540297642551,0.0,0.0,kidney,0,KMT2E,KMT2E-201,4.767481912746981,0.37354192938209335,0.6264580706179066,-5.3270347133573,Downregulated,False
PSENEN,brain,0,RUVBL1,RUVBL1-201,5.241454439189043,0.0,0.0,kidney,0,RNF14,RNF14-203,5.31657192868182,0.3502539734556776,0.6497460265443225,0.0,0,False
MXD4,brain,MXD4-201,THRA,THRA-203,5.24065931333099,0.0,0.0,kidney,0,HOXA11,HOXA11-201,4.84928830140514,0.0,0.0,-7.03249725907303,Downregulated,False
UBL5,brain,0,PARK7,PARK7-201,5.23931109142065,0.0,0.0,kidney,0,RNF14,RNF14-203,5.256818382955987,0.3502539734556776,0.6497460265443225,0.0,0,False
MLF2,brain,0,GTF2F1,GTF2F1-201,5.222719706747504,0.0,0.0,kidney,0,RNF14,RNF14-203,6.111260469074465,0.3502539734556776,0.6497460265443225,0.0,0,False
DMTN,brain,DMTN-201,PIN1,PIN1-201,5.214162276640218,0.0,0.0,kidney,0,NFIX,NFIX-202,4.9879380101422415,0.10337512054001928,0.8966248794599807,-1.74587612185794,Downregulated,False
MUS81,brain,0,PHF1,PHF1-202,5.209664616809362,0.0,0.0,kidney,0,ZNF263,ZNF263-201,7.279884193785168,0.41515246897683156,0.5848475310231684,0.0,0,False
CCDC126,brain,0,CDC5L,CDC5L-201,5.189164060769581,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.724322371332497,0.4415698760249729,0.5584301239750271,0.0,0,False
NEK5,brain,NEK5-203,FOXJ1,FOXJ1-201,5.188327097154029,0.0,0.0,kidney,0,TFAP2B,TFAP2B-202,4.754236242833342,0.0,0.0,-1.81230073116542,Downregulated,False
SCFD2,brain,0,PA2G4,PA2G4-201,5.175966349091188,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.336404747349509,0.4415698760249729,0.5584301239750271,0.0,0,False
ACAD8,brain,0,SSRP1,SSRP1-201,5.143186619984969,0.0,0.0,kidney,0,ZMYND11,ZMYND11-214,4.470024125272544,0.27358720132542913,0.7264127986745709,0.0,0,False
RXRB,brain,RXRB-201,SND1,SND1-201,5.140818741733875,0.0,0.0,kidney,0,ZNF263,ZNF263-201,4.4068687261009805,0.41515246897683156,0.5848475310231684,-5.24424267375043,Downregulated,False
FST,brain,0,PPP1R13L,PPP1R13L-207,5.12459835589553,0.0,0.0,kidney,0,NFIX,NFIX-202,4.384138741893032,0.10337512054001928,0.8966248794599807,2.10146090989174,Upregulated,False
PYCR2,brain,PYCR2-208,DRAP1,DRAP1-201,5.115029349861098,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.555399316892503,0.4415698760249729,0.5584301239750271,-3.94550945027647,Downregulated,False
NAP1L4,brain,0,PHF5A,PHF5A-201,5.108630111117062,0.0,0.0,kidney,0,NFYA,NFYA-201,4.327232315196944,0.32140179436418004,0.67859820563582,0.0,0,False
MRPL46,brain,0,COPS5,COPS5-201,5.108159519668861,0.0,0.0,kidney,0,RNF14,RNF14-203,5.69108501709594,0.3502539734556776,0.6497460265443225,0.0,0,False
GTPBP10,brain,0,IKZF5,IKZF5-201,5.107323039584649,0.0,0.0,kidney,0,NFYA,NFYA-201,4.619282298928296,0.32140179436418004,0.67859820563582,0.0,0,False
BAD,brain,0,PARK7,PARK7-201,5.101457180074356,0.0,0.0,kidney,0,NFIX,NFIX-202,5.7428702214115255,0.10337512054001928,0.8966248794599807,0.0,0,False
TRIM8,brain,0,TRIM8,TRIM8-201,5.086003133273657,0.0,0.0,kidney,0,NFIX,NFIX-202,4.715463353650062,0.10337512054001928,0.8966248794599807,0.0,0,False
MUL1,brain,MUL1-201,TFCP2,TFCP2-201,5.084998557449119,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.319781685749373,0.4415698760249729,0.5584301239750271,-5.31881239132805,Downregulated,False
ADIPOR1,brain,0,PA2G4,PA2G4-201,5.080153712245888,0.0,0.0,kidney,0,WWTR1,WWTR1-201,4.519144717453298,0.6341261585019862,0.36587384149801383,0.0,0,False
SMC1A,brain,0,SP1,SP1-202,5.077956260343298,0.0,0.0,kidney,0,HIVEP2,HIVEP2-202,5.551541601146584,0.2589950000544657,0.7410049999455344,0.0,0,False
MED24,brain,MED24-204,MNT,MNT-201,5.073993609343246,0.0,0.0,kidney,0,ZNF263,ZNF263-201,5.672155100253288,0.41515246897683156,0.5848475310231684,0.0,0,False
AREL1,brain,AREL1-201,MED1,MED1-201,5.067253259488272,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.710803357530807,0.4415698760249729,0.5584301239750271,-3.80772104801607,Downregulated,False
ANKRD39,brain,ANKRD39-201,MEIS3,MEIS3-204,5.051374016675745,0.0,0.0,kidney,0,NFIX,NFIX-202,7.92714488146897,0.10337512054001928,0.8966248794599807,-5.98432056585697,Downregulated,False
HSDL2,brain,HSDL2-202,ZNF521,ZNF521-201,5.050901255837304,0.0,0.0,kidney,0,RNF14,RNF14-203,4.590652836459145,0.3502539734556776,0.6497460265443225,-6.00647983101173,Downregulated,False
GLI4,brain,GLI4-211,MZF1,MZF1-207,5.049938697550864,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.471139647882152,0.4415698760249729,0.5584301239750271,-3.82235178150511,Downregulated,False
