TF_gene,tissue_cervix_ectocervix,TF_transcript_id_cervix_ectocervix,target_gene_cervix_ectocervix,target_transcript_id_cervix_ectocervix,importance_cervix_ectocervix,cervix_ectocervix_percentage,cervix_ectocervix_opposite_percentage,tissue_fallopian_tube,TF_transcript_id_fallopian_tube,target_gene_fallopian_tube,target_transcript_id_fallopian_tube,importance_fallopian_tube,fallopian_tube_percentage,fallopian_tube_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
FHL2,cervix_ectocervix,FHL2-205,RAB4B,RAB4B-201,3.609839927230456,0.635773597695306,0.36422640230469405,fallopian_tube,FHL2-205,BCL9L,BCL9L-201,3.210471404670092,0.36422640230469416,0.6357735976953058,0.0,0,True
ZBTB17,cervix_ectocervix,ZBTB17-202,CACNB3,CACNB3-201,3.60625622277426,0.5303200099613995,0.4696799900386005,fallopian_tube,ZBTB17-202,NDUFA1,0,3.136535997291568,0.4696799900386004,0.5303200099613996,0.0,0,True
HES1,cervix_ectocervix,HES1-201,ANKRD13A,ANKRD13A-201,3.606076343639391,0.7092169310884792,0.29078306891152084,fallopian_tube,HES1-201,TRIM38,TRIM38-201,3.633549081742101,0.29078306891152084,0.7092169310884792,-1.50133347600304,Downregulated,True
BTG2,cervix_ectocervix,BTG2-201,HDGF,HDGF-203,3.6052450424248312,0.08872629399981832,0.9112737060001816,fallopian_tube,BTG2-201,SUZ12,SUZ12-201,3.612921103067336,0.9112737060001816,0.08872629399981835,3.24030710908166,Upregulated,True
TFE3,cervix_ectocervix,TFE3-201,ADPRS,ADPRS-201,3.602927124286456,0.45793590418787916,0.5420640958121208,fallopian_tube,TFE3-204,SLC35B2,SLC35B2-202,3.4698277724681508,0.5532763001468566,0.4467236998531434,0.0,0,True
KLF4,cervix_ectocervix,KLF4-205,MCRS1,MCRS1-201,3.602031774615741,0.0,0.0,fallopian_tube,KLF4-201,ZC2HC1A,0,3.490302742135377,0.523665707703143,0.476334292296857,-7.89937072860219,Downregulated,True
KMT2A,cervix_ectocervix,KMT2A-213,TRIAP1,0,3.600360310408858,0.47721075185040907,0.5227892481495909,fallopian_tube,KMT2A-213,CYB561D2,0,3.667458868944765,0.5227892481495909,0.47721075185040907,0.0,0,True
BTAF1,cervix_ectocervix,BTAF1-201,ATP5MC3,ATP5MC3-202,3.595392716532212,0.3685138772858071,0.6314861227141929,fallopian_tube,BTAF1-201,NSL1,0,2.86725412535513,0.6314861227141929,0.3685138772858071,0.0,0,True
NCOA6,cervix_ectocervix,NCOA6-201,RPL36AL,0,3.5883020169539,0.48763663376843885,0.5123633662315612,fallopian_tube,NCOA6-201,MCM3,MCM3-201,4.682865721208955,0.5123633662315611,0.4876366337684389,0.0,0,True
PRMT5,cervix_ectocervix,PRMT5-204,RARG,RARG-201,3.588063884127101,0.4461616534415944,0.5538383465584056,fallopian_tube,PRMT5-204,ALDH1B1,ALDH1B1-201,3.921807049163636,0.5538383465584056,0.4461616534415944,0.0,0,True
CEBPB,cervix_ectocervix,CEBPB-201,MBD2,MBD2-201,3.586327861439889,0.47875004593875187,0.5212499540612481,fallopian_tube,CEBPB-201,TMEM187,0,3.200992036400492,0.5212499540612482,0.4787500459387518,0.0,0,True
CTBP2,cervix_ectocervix,CTBP2-203,INPP5F,0,3.576103605261513,0.5465399762455461,0.45346002375445393,fallopian_tube,CTBP2-214,TADA3,0,4.103847773762928,0.5021265736645117,0.49787342633548826,0.0,0,True
ID4,cervix_ectocervix,ID4-201,HDLBP,HDLBP-203,3.57181662079846,0.3522160333515582,0.6477839666484417,fallopian_tube,ID4-201,FTSJ1,FTSJ1-202,4.061888417641397,0.6477839666484417,0.35221603335155827,0.0,0,True
GTF3A,cervix_ectocervix,GTF3A-201,RASSF1,RASSF1-201,3.5629125764062715,0.4397233628701102,0.5602766371298897,fallopian_tube,GTF3A-201,WARS1,0,3.1691931236943764,0.5602766371298898,0.43972336287011016,0.0,0,True
CTCF,cervix_ectocervix,CTCF-201,C6orf136,0,3.562253445675897,0.5086358313817331,0.4913641686182669,fallopian_tube,CTCF-201,CMBL,0,3.619190143605664,0.4913641686182669,0.5086358313817331,0.0,0,True
